date,year,model,pearson_ic,spearman_rank_ic,n
2016-01-29,2016,ridge,0.021017582329156827,0.0201678552732157,3240
2016-01-29,2016,lgbm,-0.0020476845817351047,0.026447208176237344,3240
2016-01-29,2016,ranker,0.03981541982075701,0.05221942922348315,3240
2016-02-29,2016,ridge,0.021414200773516405,0.0204995001681067,3150
2016-02-29,2016,lgbm,0.016356386616343803,0.0017402786505115997,3150
2016-02-29,2016,ranker,0.06276813613109082,0.06109645209767152,3150
2016-03-31,2016,ridge,0.00021927668936539291,-0.019226079021374375,3182
2016-03-31,2016,lgbm,0.015042913410486582,0.013101621998598963,3182
2016-03-31,2016,ranker,0.18361463862373936,0.15426478688079379,3182
2016-04-29,2016,ridge,-0.015991792962677276,-0.02191712666773209,3174
2016-04-29,2016,lgbm,-0.010904660316323762,0.04339898014823941,3174
2016-04-29,2016,ranker,-0.011342634039376564,0.005076480201608978,3174
2016-05-31,2016,ridge,0.06889469509388986,0.007444279488817185,3210
2016-05-31,2016,lgbm,0.07764148275265917,-0.0014210376164147994,3210
2016-05-31,2016,ranker,-0.06392233895413711,-0.11849433580806788,3210
2016-06-30,2016,ridge,9.759419839239721e-05,0.03565290512482591,3324
2016-06-30,2016,lgbm,0.020065185165089924,0.10763439362329373,3324
2016-06-30,2016,ranker,0.048573689086861285,0.07098483078884726,3324
2016-07-29,2016,ridge,0.046259646326987765,0.08520732511516392,3239
2016-07-29,2016,lgbm,-0.06905314803824131,-0.012072362999280321,3239
2016-07-29,2016,ranker,0.0929482659984459,0.07525696540805002,3239
2016-08-31,2016,ridge,0.023990416460287232,0.024858150516244484,3216
2016-08-31,2016,lgbm,-0.02242264401321679,0.0023141110577906986,3216
2016-08-31,2016,ranker,0.16544903346207232,0.12301500779228405,3216
2016-09-30,2016,ridge,-0.0003618154440261404,0.023417897522932385,3263
2016-09-30,2016,lgbm,0.016116882666641318,-0.028229152654716642,3263
2016-09-30,2016,ranker,-0.20667240417903093,-0.18829684539381542,3263
2016-10-31,2016,ridge,0.11587518971108741,0.21590785995850295,3157
2016-10-31,2016,lgbm,0.03723900568609138,0.14842793436358942,3157
2016-10-31,2016,ranker,0.14929778411611286,0.17347540553237947,3157
