year,model,portfolio,cost_bps,annual_return,annualized_vol,sharpe,max_drawdown,mean_daily_return,trading_days,avg_rebalance_turnover
2016,lgbm,long_only,0,0.32707164846303716,0.21301245183545084,1.537834351815783,-0.11019520420538165,0.001299912165861354,234,1.1874244107091432
2016,lgbm,long_only,5,0.31845438177538576,0.21296960656467673,1.5051192742601311,-0.11019520420538176,0.0012720026177463963,234,1.1874244107091432
2016,lgbm,long_only,10,0.30988799741699435,0.2129455937000416,1.472260816012654,-0.11093828876827572,0.0012440930696314377,234,1.1874244107091432
2016,lgbm,long_only,20,0.29290679508668616,0.21295408567558485,1.4061483739427243,-0.11306569832067226,0.0011882739734015207,234,1.1874244107091432
2016,lgbm,long_short,0,0.02281093265440215,0.07278969761279136,0.36995023504413294,-0.050865263907858504,0.00010685938785969652,234,2.155678328718226
2016,lgbm,long_short,5,0.010768701741989517,0.07261290265786288,0.19501103330018524,-0.05391372932087757,5.6191734834268275e-05,234,2.155678328718226
2016,lgbm,long_short,10,-0.001144526467154794,0.07261767709663526,0.01916983125162817,-0.057141986240916154,5.5240818088401655e-06,234,2.155678328718226
2016,lgbm,long_short,20,-0.024588943365806526,0.07317044032906846,-0.329975170306524,-0.06517157744835389,-9.581122424201475e-05,234,2.155678328718226
2016,ranker,long_only,0,0.4288049542799617,0.234369897957778,1.757755371820567,-0.12061195815921122,0.0016347815362235012,234,1.216247491449067
2016,ranker,long_only,5,0.4192910322780705,0.2343781449394203,1.726957177613931,-0.1216673039445969,0.0016061945225355955,234,1.216247491449067
2016,ranker,long_only,10,0.4098347033673433,0.2344043897149393,1.6960309178215038,-0.12272201610183597,0.00157760750884769,234,1.216247491449067
2016,ranker,long_only,20,0.39109357118629995,0.23451084433361574,1.633823111334863,-0.12482953953187248,0.00152043348147188,234,1.216247491449067
2016,ranker,long_short,0,0.20851090164235986,0.16009503713480142,1.3541054538217816,-0.09090875702401513,0.0008602601702937906,234,2.1847145879197067
2016,ranker,long_short,5,0.19406672843955386,0.16021497178312571,1.2723238539201756,-0.09187565139701848,0.0008089100410905503,234,2.1847145879197067
2016,ranker,long_short,10,0.17977963114052375,0.16041940769690055,1.1900374183920557,-0.0928425457700216,0.0007575599118873102,234,2.1847145879197067
